Sample No. – No. d’échantillon,Region - Région,Function,Fonction,Origin,Origine,Product,Produit,Date Sampled – Date d’échantillonage,Type of Test,Type d’analyse,Component,Composant,Result - Résultat,Unit - Unité,Plan Code - Code du régime,,,
C2013COUM00001,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,12.2,µg/g,2013_TS020,,,
C2013COUM00002,ATLANTIC,Domestic,Domestique,CANADA,CANADA,Bakery Product - Bread,Pain,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,5.6,µg/g,2013_TS020,,,
C2013COUM00003,ATLANTIC,Import,Importé,UNKNOWN,INCONNU,Granola/Cereal Bar,Barre Granola/de céréales,25-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,5.8,µg/g,2013_TS020,,,
C2013COUM00004,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,25-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,357,µg/g,2013_TS020,,,
C2013COUM00005,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Tea - Herbal,Thé - Herbal,29-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,240,µg/g,2013_TS020,,,
C2013COUM00006,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,06-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.1,µg/g,2013_TS020,,,
C2013COUM00007,ATLANTIC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Children,Céréales - Enfants,06-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,3.4,µg/g,2013_TS020,,,
C2013COUM00008,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,06-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,15.7,µg/g,2013_TS020,,,
C2013COUM00009,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Tea - Herbal,Thé - Herbal,05-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1250,µg/g,2013_TS020,,,
C2013COUM00010,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bagel,Pain - Bagel,10-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,6.1,µg/g,2013_TS020,,,
C2013COUM00011,ATLANTIC,Domestic,Domestique,CANADA,CANADA,Baking Mixes,Mélange à pâte,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,9,µg/g,2013_TS020,,,
C2013COUM00012,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bagel,Pain - Bagel,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,22.4,µg/g,2013_TS020,,,
C2013COUM00013,ATLANTIC,Import,Importé,UNKNOWN,INCONNU,Tea - Herbal,Thé - Herbal,26-Jun-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1420,µg/g,2013_TS020,,,
C2013COUM00014,ATLANTIC,Domestic,Domestique,CANADA,CANADA,Baked Goods,Produits de boulangerie,12-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,6.5,µg/g,2013_TS020,,,
C2013COUM00015,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Baked Goods,Produits de boulangerie,12-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,7.4,µg/g,2013_TS020,,,
C2013COUM00016,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Baking Mixes,Mélange à pâte,29-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,7.6,µg/g,2013_TS020,,,
C2013COUM00017,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Oatmeal,Flocons d'avoine,25-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,14.3,µg/g,2013_TS020,,,
C2013COUM00018,ATLANTIC,Import,Importé,INDIA,INDE,Spice - Mixed,mélanges d'épices,24-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0,µg/g,2013_TS020,,,
C2013COUM00019,ATLANTIC,Domestic,Domestique,CANADA,CANADA,Dried mixes,Mélanges sec,30-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0,µg/g,2013_TS020,,,
C2013COUM00020,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,29-Jul-13,COUMARIN,COUMARIN,Coumarin,La coumarine,1290,µg/g,2013_TS020,,,
C2013COUM00021,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bagel,Pain - Bagel,13-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,28.4,µg/g,2013_TS020,,,
C2013COUM00022,ATLANTIC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Children,Céréales - Enfants,30-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,4,µg/g,2013_TS020,,,
C2013COUM00023,ATLANTIC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Tea - Black,Thé - Noir,13-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,13.8,µg/g,2013_TS020,,,
C2013COUM00024,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Granola/Cereal Bar,Barre Granola/de céréales,13-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,8.2,µg/g,2013_TS020,,,
C2013COUM00025,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Granola/Cereal Bar,Barre Granola/de céréales,13-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,0.1,µg/g,2013_TS020,,,
C2013COUM00026,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Spice - Mixed,mélanges d'épices,30-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,39.3,µg/g,2013_TS020,,,
C2013COUM00027,ATLANTIC,Import,Importé,UNKNOWN,INCONNU,Tea - Herbal,Thé - Herbal,30-Aug-13,COUMARIN,COUMARIN,Coumarin,La coumarine,113,µg/g,2013_TS020,,,
C2013COUM00028,ATLANTIC,Unknown,Inconnu,UNKNOWN,INCONNU,Bakery Product - Bread - Other,Pain - Autre,24-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,6.1,µg/g,2013_TS020,,,
C2013COUM00029,ATLANTIC,Import,Importé,UNITED STATES,ÉTATS-UNIS,Cereal - Adult,Céréales - Adultes,24-Sep-13,COUMARIN,COUMARIN,Coumarin,La coumarine,2.8,µg/g,2013_TS020,,,
